City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
216,Nakhon Thai,TH,17.1006,100.8374,62.67,87,54,2.68,broken clouds
217,Cabo San Lucas,MX,22.8909,-109.9124,77.61,58,31,1.99,scattered clouds
218,Muriwai Beach,NZ,-36.8167,174.45,74.19,76,100,4.54,overcast clouds
219,Dikson,RU,73.5069,80.5464,4.86,90,100,22.06,overcast clouds
220,Bacolod,PH,10.6667,122.95,78.21,86,73,7.99,broken clouds
221,San Policarpo,PH,12.1791,125.5072,81.75,77,97,13.78,overcast clouds
222,Bushehr,IR,28.9684,50.8385,64.49,72,100,6.91,overcast clouds
223,Taoudenni,ML,22.6783,-3.9836,77.36,18,0,5.64,clear sky
224,Komsomolskiy,UZ,40.4272,71.7189,30.92,86,10,4.61,mist
225,Gwadar,PK,25.1216,62.3254,71.1,28,1,11.1,clear sky
226,Peace River,CA,56.2501,-117.286,14.31,85,75,0.0,broken clouds
227,Naze,JP,28.3667,129.4833,58.12,80,100,17.98,light rain
228,Calama,CL,-22.4667,-68.9333,75.69,15,0,28.77,clear sky
229,Vao,NC,-22.6667,167.4833,76.62,65,15,8.77,few clouds
230,Ugoofaaru,MV,5.6667,73.0,79.84,77,39,8.75,moderate rain
231,Ust-Nera,RU,64.5667,143.2,-38.18,100,85,2.91,overcast clouds
232,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,76,100,4.18,light rain
233,Lagoa,PT,39.05,-27.9833,56.97,82,97,18.88,light rain
234,Yingkou,CN,40.6648,122.2283,11.95,43,49,1.92,scattered clouds
235,Airai,TL,-8.9266,125.4092,65.37,81,100,1.57,overcast clouds
236,San Quintin,MX,30.4833,-115.95,60.1,49,94,9.73,overcast clouds
237,Conde,BR,-7.2597,-34.9075,80.06,74,20,5.75,few clouds
238,Yueyang,CN,29.3333,113.0919,45.43,47,99,15.12,overcast clouds
239,Tiksi,RU,71.6872,128.8694,-28.44,100,98,2.13,overcast clouds
240,Ulaangom,MN,49.9811,92.0667,-17.82,89,75,2.75,broken clouds
241,Monte Santo,BR,-10.4378,-39.3328,75.43,65,94,5.84,moderate rain
242,Omboue,GA,-1.5746,9.2618,77.22,87,92,4.81,moderate rain
243,North Bend,US,43.4065,-124.2243,53.51,72,0,6.91,clear sky
244,Te Horo,NZ,-40.8084,175.1233,65.95,96,100,4.59,overcast clouds
245,Souillac,MU,-20.5167,57.5167,75.58,83,40,10.36,scattered clouds
246,Chichli,IN,22.8333,78.8167,62.58,58,6,2.42,clear sky
247,Staryy Nadym,RU,65.6118,72.6842,11.43,86,100,17.2,overcast clouds
248,Helong,CN,42.5397,128.9972,0.3,57,0,8.57,clear sky
249,Vryburg,ZA,-26.9566,24.7284,70.92,70,94,2.57,light rain
250,Asfi,MA,32.2994,-9.2372,64.26,69,11,19.62,few clouds
251,Mayo,US,38.8876,-76.5119,48.31,95,100,12.66,heavy intensity rain
252,Rocha,UY,-34.4833,-54.3333,61.11,52,40,12.62,scattered clouds
253,Aksu,CN,41.1231,80.2644,22.24,57,0,4.21,clear sky
254,Sukumo,JP,32.9333,132.7333,41.76,77,79,4.76,broken clouds
255,Sakaiminato,JP,35.55,133.2333,44.53,87,75,6.91,broken clouds
256,Laredo,US,27.5064,-99.5075,73.69,27,0,6.91,clear sky
257,Viseu,PT,40.661,-7.9097,50.74,92,57,4.68,light rain
258,Havoysund,NO,70.9963,24.6622,35.83,75,100,26.31,overcast clouds
259,Bolivar,US,37.6145,-93.4105,37.58,59,74,16.71,broken clouds
260,Uyemskiy,RU,64.4743,40.8524,24.85,79,100,8.95,overcast clouds
261,Dawlatabad,AF,36.4141,64.9053,46.94,41,2,3.53,clear sky
262,Berlevag,NO,70.8578,29.0864,35.55,80,75,25.32,light snow
263,Araouane,ML,18.9048,-3.5265,72.79,14,0,5.84,clear sky
264,Carnarvon,AU,-24.8667,113.6333,73.62,72,0,16.93,clear sky
265,Lazaro Cardenas,MX,17.9583,-102.2,79.65,65,22,8.05,few clouds
266,Ternate,ID,0.8,127.4,81.39,79,97,6.51,overcast clouds
267,Henties Bay,NA,-22.116,14.2845,65.41,82,91,2.98,overcast clouds
268,Evensk,RU,61.95,159.2333,18.93,82,94,25.66,overcast clouds
269,Lanigan,CA,51.8501,-105.0344,6.69,92,98,15.28,overcast clouds
270,Malanville,BJ,11.8685,3.3899,73.69,15,98,8.32,overcast clouds
271,Pitimbu,BR,-7.4706,-34.8086,81.19,74,92,12.33,overcast clouds
272,Mahibadhoo,MV,3.7833,72.9667,79.65,73,26,1.79,scattered clouds
273,Grootfontein,NA,-19.5667,18.1167,65.77,88,99,5.75,moderate rain
274,Dingle,PH,10.9995,122.6711,77.22,92,99,7.72,overcast clouds
275,Karratha,AU,-20.7377,116.8463,78.44,44,0,16.11,light rain
276,Standerton,ZA,-26.9337,29.2415,61.59,92,85,5.44,overcast clouds
277,Warwick,US,41.7001,-71.4162,41.92,86,100,6.91,overcast clouds
278,Grindavik,IS,63.8424,-22.4338,21.67,63,40,21.85,scattered clouds
279,Wukari,NG,7.85,9.7833,75.56,20,82,3.44,broken clouds
280,Tangshan,CN,39.6333,118.1833,16.65,24,99,4.97,overcast clouds
281,Ojinaga,MX,29.5667,-104.4167,61.57,26,0,0.0,clear sky
282,Dauphin,CA,51.1494,-100.0502,21.34,100,100,20.71,light snow
283,Klaksvik,FO,62.2266,-6.589,27.52,53,100,10.09,overcast clouds
284,Manadhoo,MV,5.7667,73.3833,80.08,76,32,10.92,scattered clouds
285,Disa,IN,24.25,72.1667,64.26,37,30,6.71,scattered clouds
286,Zyryanka,RU,65.75,150.85,-26.95,96,100,23.24,overcast clouds
287,Mount Isa,AU,-20.7333,139.5,83.97,10,58,14.97,broken clouds
288,Victoria,HK,22.2855,114.1577,63.25,91,100,11.01,overcast clouds
289,Pinawa,CA,50.1489,-95.8811,26.78,95,100,8.19,snow
290,Hofn,IS,64.2539,-15.2082,22.39,58,100,18.61,overcast clouds
291,Nemuro,JP,43.3236,145.575,23.83,59,27,21.12,scattered clouds
292,Igarka,RU,67.4667,86.5833,0.28,91,100,20.07,overcast clouds
293,Anderson,US,34.5334,-82.6499,53.58,69,0,16.11,clear sky
294,Tasiilaq,GL,65.6145,-37.6368,4.14,63,91,5.08,overcast clouds
295,Chandrakona,IN,22.7333,87.5167,58.1,31,11,6.42,few clouds
